0   |9   |11  |
Seina    |0   |0   |
Seina    |0   |1   |
Seina    |0   |2   |
Seina    |0   |3   |
Seina    |0   |4   |
Seina    |0   |5   |
Seina    |0   |6   |
Seina    |0   |7   |
Seina    |0   |8   |
Seina    |0   |9   |
Seina    |0   |10  |
Seina    |1   |0   |
Kaytava  |1   |1   |
Kaytava  |1   |2   |
Kaytava  |1   |3   |
Kaytava  |1   |4   |
Kaytava  |1   |5   |
Kaytava  |1   |6   |
Kaytava  |1   |7   |
Seina    |1   |8   |
Kaytava  |1   |9   |
Robotti  |1   |9   |2000|e   |
Seina    |1   |10  |
Seina    |2   |0   |
Seina    |2   |1   |
Seina    |2   |2   |
Seina    |2   |3   |
Seina    |2   |4   |
Kaytava  |2   |5   |
Seina    |2   |6   |
Seina    |2   |7   |
Seina    |2   |8   |
Kaytava  |2   |9   |
Seina    |2   |10  |
Seina    |3   |0   |
Kaytava  |3   |1   |
Kaytava  |3   |2   |
Kaytava  |3   |3   |
Kaytava  |3   |4   |
Kaytava  |3   |5   |
Esine    |3   |5   |600 |
Seina    |3   |6   |
Kaytava  |3   |7   |
Kaytava  |3   |8   |
Kaytava  |3   |9   |
Seina    |3   |10  |
Seina    |4   |0   |
Kaytava  |4   |1   |
Seina    |4   |2   |
Seina    |4   |3   |
Seina    |4   |4   |
Seina    |4   |5   |
Seina    |4   |6   |
Kaytava  |4   |7   |
Seina    |4   |8   |
Seina    |4   |9   |
Seina    |4   |10  |
Seina    |5   |0   |
Kaytava  |5   |1   |
Kaytava  |5   |2   |
Monkija  |5   |2   |230 |e   |
Esine    |5   |2   |70  |
Esine    |5   |2   |120 |
Esine    |5   |2   |200 |
Esine    |5   |2   |800 |
Esine    |5   |2   |1000|
Kaytava  |5   |3   |
Seina    |5   |4   |
Kaytava  |5   |5   |
Kaytava  |5   |6   |
Kaytava  |5   |7   |
Seina    |5   |8   |
Kaytava  |5   |9   |
Seina    |5   |10  |
Seina    |6   |0   |
Kaytava  |6   |1   |
Seina    |6   |2   |
Kaytava  |6   |3   |
Seina    |6   |4   |
Seina    |6   |5   |
Seina    |6   |6   |
Kaytava  |6   |7   |
Seina    |6   |8   |
Kaytava  |6   |9   |
Seina    |6   |10  |
Seina    |7   |0   |
Kaytava  |7   |1   |
Seina    |7   |2   |
Kaytava  |7   |3   |
Kaytava  |7   |4   |
Kaytava  |7   |5   |
Kaytava  |7   |6   |
Kaytava  |7   |7   |
Kaytava  |7   |8   |
Esine    |7   |8   |30  |
Esine    |7   |8   |300 |
Esine    |7   |8   |1400|
Kaytava  |7   |9   |
Seina    |7   |10  |
Seina    |8   |0   |
Seina    |8   |1   |
Seina    |8   |2   |
Seina    |8   |3   |
Seina    |8   |4   |
Seina    |8   |5   |
Seina    |8   |6   |
Seina    |8   |7   |
Seina    |8   |8   |
Seina    |8   |9   |
Seina    |8   |10  |
